1,2,3,4,5,Total
19,25,25,25,25,119
13,10,14,12,14,63
9,9,7,6,8,39
16,7,12,13,12,60
11,13,15,9,16,64
7,11,11,13,12,54
16,12,10,4,2,44
11,8,13,9,10,51
1,2,2,5,2,12
17,13,9,14,11,64
5,1,2,1,1,10
3,5,6,2,4,20
13,15,13,13,17,71
15,15,15,13,10,68
9,14,11,14,5,53
16,15,10,14,5,60
16,15,18,17,11,77
14,7,6,10,9,46
7,11,11,13,14,56
14,12,16,12,14,68
4,4,4,4,4,20
4,6,10,11,9,40
1,9,2,6,5,23
2,3,2,4,3,14
8,2,4,3,4,21
6,2,1,3,1,13
3,2,2,3,2,12
3,6,8,6,6,29
1,4,4,10,1,20
3,2,4,6,1,16
2,7,8,3,2,22
1,6,5,3,4,19
4,5,1,1,4,15
3,3,0,1,1,8
0,1,0,1,1,3
1,2,3,6,3,15
5,3,5,2,3,18
5,4,3,0,5,17
0,1,1,2,1,5
2,5,2,1,3,13
3,7,2,5,5,22
1,2,2,6,6,17
8,4,1,1,1,15
3,4,1,3,0,11
2,5,6,5,3,21
2,4,4,3,4,17
0,1,0,0,3,4
4,2,5,3,1,15
